uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,ID,FeatureAuthor,FeatureTimestamp,Latitude,Longitude,Northing,Easting,Accuracy,FeatureType,MapSymbol,Source,Note,GC,DateCompleted,Description,Classification,OtherDescription,Picture,geospatialcolumn
1.00005E+18,202200,Stephanie Black,2017-09-17 19:20:11.730 GMT,Stephanie Black,2017-09-17 19:20:11 GMT,202200,Stephanie Black,2017-09-17 22:19:29+03:00,42.47452019,26.02777634,4702921.717,420083.3711,,Mound,Hairy brown circle,TopomapRU 1:50k,settlement mound - atypically large symbol,No,17/09/2017,,,,,POINT(420083.371065 4702921.71747)
1.00003E+18,202201,Lachlan Hanley,2017-09-18 04:05:59.885 GMT,Lachlan Hanley,2017-09-18 04:06:52 GMT,202201,Lachlan Hanley,2017-09-18 07:05:52+03:00,42.65652757,26.13063728,4723040.225,428746.0333,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(428746.033337 4723040.22548)
1.00003E+18,202202,Lachlan Hanley,2017-09-18 04:07:26.515 GMT,Lachlan Hanley,2017-09-18 04:14:40 GMT,202202,Lachlan Hanley,2017-09-18 07:07:18+03:00,42.66336519,26.13948248,4723792.078,429478.7285,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(429478.728537 4723792.077716)
1.00005E+18,202000,Stephanie Black,2017-09-18 04:09:12.581 GMT,Stephanie Black,2017-09-18 04:09:30 GMT,202000,Stephanie Black,2017-09-18 07:08:44+03:00,42.15472861,26.01536717,4667424.934,418652.4916,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(418652.491629 4667424.933555)
1.00003E+18,202203,Lachlan Hanley,2017-09-18 04:15:39.204 GMT,Lachlan Hanley,2017-09-18 04:15:39 GMT,202203,Lachlan Hanley,2017-09-18 07:15:32+03:00,42.66392944,26.15274909,4723843.752,430566.5907,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(430566.590729 4723843.752249)
1.00003E+18,202204,Lachlan Hanley,2017-09-18 04:16:12.257 GMT,Lachlan Hanley,2017-09-18 04:16:12 GMT,202204,Lachlan Hanley,2017-09-18 07:16:00+03:00,42.66497784,26.1860897,4723933.324,433300.0372,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(433300.037201 4723933.323926)
1.00003E+18,202205,Lachlan Hanley,2017-09-18 04:16:35.894 GMT,Lachlan Hanley,2017-09-18 04:16:42 GMT,202205,Lachlan Hanley,2017-09-18 07:16:29+03:00,42.66591079,26.2059503,4724021.443,434928.5958,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,not 100% certain,No,18/09/2017,,,,,POINT(434928.595768 4724021.443248)
1.00003E+18,202206,Lachlan Hanley,2017-09-18 04:18:12.479 GMT,Lachlan Hanley,2017-09-18 04:18:12 GMT,202206,Lachlan Hanley,2017-09-18 07:18:03+03:00,42.66300988,26.22425759,4723685.389,436425.9081,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(436425.908132 4723685.388863)
1.00005E+18,202001,Stephanie Black,2017-09-18 04:21:21.812 GMT,Stephanie Black,2017-09-18 04:22:09 GMT,202001,Stephanie Black,2017-09-18 07:21:15+03:00,42.15397786,26.00119822,4667355.174,417480.9062,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(417480.906153 4667355.174207)
1.00003E+18,202211,Lachlan Hanley,2017-09-18 04:21:37.397 GMT,Lachlan Hanley,2017-09-18 04:21:40 GMT,202211,Lachlan Hanley,2017-09-18 07:21:28+03:00,42.64896607,26.175607,4722163.66,432423.6391,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(432423.639116 4722163.65992)
1.00005E+18,202002,Stephanie Black,2017-09-18 04:22:41.108 GMT,Stephanie Black,2017-09-18 04:22:48 GMT,202002,Stephanie Black,2017-09-18 07:22:34+03:00,42.1565805,26.01710433,4667628.901,418798.3794,,Mound,Black triangle with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(418798.379382 4667628.900778)
